1,13
1,84
84,34
34,63
63,47
47,22
22,89
47,28
28,90
90,31
84,73
73,41
89,14
14,8
8,96
55,59
59,67
67,23
23,68
67,4
4,92
4,71
71,19
19,50
50,26
13,42
42,64
64,40
40,95
95,12
12,56
56,57
12,48
48,79
57,74
74,25
48,20
71,78
78,81
81,15
68,70
70,21
21,18
21,24
24,60
60,62
62,44
62,52
24,58
58,61
61,5
58,32
32,30
30,16
16,49
49,100
49,3
3,54
54,7
7,91
7,46
46,82
82,9
16,66
66,2
41,53
2,37
44,29
29,88
88,99
99,77
88,94
91,36
36,33
33,80
36,93
93,39
39,6
6,86
86,45
6,75
75,76
76,10
10,17
10,72
17,83
81,65
8,87
87,69
69,11
11,51
11,98
51,27
27,43
27,85
43,97
87,35
23,38
1,55
