1,6.8246,3.5812,3
2,0.83986,2.5031,3
3,0.84423,5.3125,3
4,7.3882,1.4166,3
5,3.5038,4.785,3
6,1.4581,9.0533,3
7,1.6294,5.6591,3
8,7.831,6.8569,3
9,2.6032,5.6927,3
10,3.193,9.108,3
11,7.9459,9.2581,3
12,5.1754,6.2701,3
13,6.6397,3.8919,3
14,8.1763,6.0034,3
15,9.2236,0.53598,3
16,1.1885,3.8014,3
17,2.441,8.8442,3
18,3.7815,2.4892,3
19,7.6724,0.49862,3
20,6.2028,7.4668,3
21,3.8391,2.6021,3
22,8.061,4.6112,3
23,5.6427,1.8738,3
24,3.5503,3.1478,3
25,5.1577,7.9064,3
26,6.7811,0.52486,3
27,6.7857,9.4601,3
28,9.0844,5.0995,3
29,3.1607,0.77487,3
30,1.4453,3.7049,3
31,9.9755,5.1734,3
32,2.2653,3.9801,3
33,0.64641,7.4766,3
34,8.1132,3.7961,3
35,9.8605,7.1818,3
36,0.9863,7.3456,3
37,0.73842,1.2051,3
38,4.968,0.22414,3
39,1.4087,8.9347,3
40,5.6086,4.9446,3
41,8.9765,2.8857,3
42,5.9419,4.7588,3
43,6.5561,9.382,3
44,2.8284,2.0518,3
45,0.2725,8.7618,3
46,2.0359,5.1992,3
47,8.6219,4.4293,3
48,5.6686,6.8039,3
49,0.78229,4.5635,3
50,7.3826,0.38002,3
51,7.4237,9.3745,3
52,2.409,2.5997,3
53,9.9334,3.5671,3
54,1.1005,5.9705,3
55,7.3072,2.6118,3
56,4.5096,6.4007,3
57,4.5282,6.522,3
58,3.0808,4.0236,3
59,7.0058,2.4187,3
60,2.9093,2.7744,3
61,3.7471,4.3693,3
62,2.9086,2.4252,3
63,8.6019,3.9723,3
64,5.65,4.8962,3
65,9.8974,1.8368,3
66,0.32633,3.3196,3
67,6.4437,1.6924,3
68,5.4327,2.5141,3
69,9.1548,8.956,3
70,4.4274,3.1175,3
71,7.5379,1.3195,3
72,3.9587,8.8552,3
73,8.4408,2.8807,3
74,4.8838,7.2904,3
75,2.1628,9.7633,3
76,3.044,9.677,3
77,1.9003,0.017993,3
78,8.6773,1.1831,3
79,5.9819,6.0431,3
80,0.075074,6.8893,3
81,8.7354,1.1328,3
82,2.4194,5.6033,3
83,3.0081,7.9814,3
84,7.8109,3.511,3
85,7.087,9.9293,3
86,1.1357,9.1288,3
87,8.5181,8.0991,3
88,2.472,0.54189,3
89,7.7723,5.1106,3
90,9.9039,5.0094,3
91,1.7388,6.2564,3
92,7.5099,1.5352,3
93,1.4395,8.5061,3
94,2.752,0.06011,3
95,4.9741,5.3784,3
96,7.2284,6.6809,3
97,5.505,9.5988,3
98,8.0857,9.8453,3
99,2.1384,0.3463,3
100,0.13795,4.7371,3
